IMDB id,Title,Year,Rating,Genre,Top_cast,Top casts
tt0096922,Bhrashtachar,1989.0,4.8,"Action, Crime, Drama",Rekha MithunChakraborty AnupamKher RazaMurad AnjanaMumtaz,"Rekha, Mithun Chakraborty, Anupam Kher, Raza Murad, Anjana Mumtaz"
tt0273045,2001: Do Hazaar Ek,2001.0,3.7,"Crime, Mystery, Thriller",JackieShroff DimpleKapadia Tabu RajatBedi SureshOberoi,"Jackie Shroff, Dimple Kapadia, Tabu, Rajat Bedi, Suresh Oberoi"
tt0074926,Mrigayaa,1977.0,7.0,Drama,MithunChakraborty MamataShankar RobertWright AjitBanerjee SamitBhanja,"Mithun Chakraborty, Mamata Shankar, Robert Wright, Ajit Banerjee, Samit Bhanja"
tt0237395,Lal Patthar,1971.0,6.1,Drama,RaajKumar HemaMalini RakheeGulzar VinodMehra AsitKumarSen,"Raaj Kumar, Hema Malini, Rakhee Gulzar, Vinod Mehra, Asit Kumar Sen"
tt0440463,Hava Aney Dey,2004.0,6.3,Drama,AniketVishwasrao NishikantKamat TannishthaChatterjee RajshreeThakur ChinmayKelkar,"Aniket Vishwasrao, Nishikant Kamat, Tannishtha Chatterjee, Rajshree Thakur, Chinmay Kelkar"
tt0139398,Kaajal,1965.0,6.6,"Drama, Musical, Romance",MeenaKumari Dharmendra Padmini RaajKumar Helen,"Meena Kumari, Dharmendra, Padmini, Raaj Kumar, Helen"
tt0361746,Inaam Dus Hazaar,1987.0,6.0,"Action, Comedy, Romance",SanjayDutt MeenakshiSheshadri AmrishPuri GulshanGrover SharatSaxena,"Sanjay Dutt, Meenakshi Sheshadri, Amrish Puri, Gulshan Grover, Sharat Saxena"
tt0982875,Gauri: The Unborn,2007.0,3.8,"Drama, Horror, Thriller",MohanAzaad AnupamKher AtulKulkarni Manasi RushitaPandya,"Mohan Azaad, Anupam Kher, Atul Kulkarni, Manasi, Rushita Pandya"
tt5933706,Saansein: The Last Breath,2016.0,3.1,"Horror, Romance",SonarikaBhadoria AamirDalvi RajneeshDuggal VishalMalhotra SachiRuia,"Sonarika Bhadoria, Aamir Dalvi, Rajneesh Duggal, Vishal Malhotra, Sachi Ruia"
tt0091105,Genesis,1986.0,6.9,Drama,ShabanaAzmi NaseeruddinShah OmPuri M.K.Raina,"Shabana Azmi, Naseeruddin Shah, Om Puri, M.K. Raina"
tt0046164,Parineeta,1953.0,7.3,"Drama, Romance",AshokKumar MeenaKumari Asitbaran SheilaKashmiri NasirHussain,"Ashok Kumar, Meena Kumari, Asitbaran, Sheila Kashmiri, Nasir Hussain"
